Date : 2025-09-25 21:49:37
Directory : c:\Users\Moe\Desktop\Quiz-App
Total : 83 files,  13925 codes, 397 comments, 1043 blanks, all 15365 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          4 |      6,371 |          0 |          4 |      6,375 |
| JavaScript JSX |         31 |      4,840 |        236 |        427 |      5,503 |
| JavaScript     |         40 |      2,204 |        152 |        417 |      2,773 |
| Markdown       |          2 |        432 |          0 |        178 |        610 |
| PostCSS        |          2 |         62 |          9 |         16 |         87 |
| HTML           |          1 |         13 |          0 |          1 |         14 |
| XML            |          3 |          3 |          0 |          0 |          3 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |         83 |     13,925 |        397 |      1,043 |     15,365 |
| . (Files)                                                                                   |          2 |        440 |          0 |        173 |        613 |
| backend                                                                                     |         25 |      8,065 |        139 |        349 |      8,553 |
| backend (Files)                                                                             |          2 |      6,302 |          0 |          2 |      6,304 |
| backend\src                                                                                 |         23 |      1,763 |        139 |        347 |      2,249 |
| backend\src (Files)                                                                         |          2 |         37 |          0 |          9 |         46 |
| backend\src\config                                                                          |          1 |          0 |          0 |          1 |          1 |
| backend\src\controller                                                                      |          6 |      1,035 |         95 |        195 |      1,325 |
| backend\src\middleware                                                                      |          1 |         26 |          2 |          6 |         34 |
| backend\src\model                                                                           |          3 |        148 |          5 |         16 |        169 |
| backend\src\routes                                                                          |          6 |         76 |          3 |         28 |        107 |
| backend\src\utils                                                                           |          4 |        441 |         34 |         92 |        567 |
| frontend                                                                                    |         56 |      5,420 |        258 |        521 |      6,199 |
| frontend (Files)                                                                            |          7 |        168 |          1 |         14 |        183 |
| frontend\public                                                                             |          2 |          2 |          0 |          0 |          2 |
| frontend\src                                                                                |         47 |      5,250 |        257 |        507 |      6,014 |
| frontend\src (Files)                                                                        |          4 |        205 |         38 |         32 |        275 |
| frontend\src\assets                                                                         |          1 |          1 |          0 |          0 |          1 |
| frontend\src\components                                                                     |         15 |      1,530 |         62 |        125 |      1,717 |
| frontend\src\components (Files)                                                             |          9 |        617 |         30 |         61 |        708 |
| frontend\src\components\analytics                                                           |          5 |        895 |         31 |         60 |        986 |
| frontend\src\components\ui                                                                  |          1 |         18 |          1 |          4 |         23 |
| frontend\src\hooks                                                                          |          1 |         15 |          0 |          4 |         19 |
| frontend\src\pages                                                                          |         14 |      3,167 |        145 |        286 |      3,598 |
| frontend\src\pages (Files)                                                                  |          6 |      1,318 |         81 |        113 |      1,512 |
| frontend\src\pages\auth                                                                     |          2 |        241 |          4 |         26 |        271 |
| frontend\src\pages\teacher                                                                  |          6 |      1,608 |         60 |        147 |      1,815 |
| frontend\src\services                                                                       |          6 |        142 |         12 |         35 |        189 |
| frontend\src\store                                                                          |          4 |        168 |          0 |         21 |        189 |
| frontend\src\store (Files)                                                                  |          1 |         12 |          0 |          3 |         15 |
| frontend\src\store\slices                                                                   |          3 |        156 |          0 |         18 |        174 |
| frontend\src\utils                                                                          |          2 |         22 |          0 |          4 |         26 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                    | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\Moe\Desktop\Quiz-App\README.md                                                     | Markdown       |        425 |          0 |        172 |        597 |
| c:\Users\Moe\Desktop\Quiz-App\backend\package-lock.json                                     | JSON           |      6,269 |          0 |          1 |      6,270 |
| c:\Users\Moe\Desktop\Quiz-App\backend\package.json                                          | JSON           |         33 |          0 |          1 |         34 |
| c:\Users\Moe\Desktop\Quiz-App\backend\src\app.js                                            | JavaScript     |         25 |          0 |          6 |         31 |
| c:\Users\Moe\Desktop\Quiz-App\backend\src\config\db.js                                      | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\Moe\Desktop\Quiz-App\backend\src\controller\analyticsController.js                 | JavaScript     |        249 |         16 |         48 |        313 |
